Action_1,EMG4L,1,-1,0,1,-1,0,-1,-2,-1,0,0,0,-2,0,-2,-2,0,-1,-2,-3,-2,0,-2,-2,-1,-2,-2,0,-1,0,-2,-1,0,-3,-1,-1,0,0,0,-3,-1,0,-1,-1,0,0,0,0
Action_1,EMG5L,-2,0,-2,-3,-2,-1,-3,-1,-1,0,1,0,-1,-1,1,-2,0,-3,-2,-1,-1,0,-1,-2,-1,-1,1,-1,1,-1,-1,-2,-2,-1,-2,0,1,-3,-1,-1,0,0,0,-1,0,0,0,0
Action_1,EMG6L,0,-4,0,-2,1,-2,-2,-2,-1,-1,1,-1,0,-1,-1,-2,0,0,-2,-1,-3,-1,-1,-1,-2,-1,-1,-1,-2,-4,2,-2,-3,-1,-2,-1,-1,-1,-1,1,-1,-2,-1,-2,0,0,0,0
Action_1,EMG7L,0,-4,0,-3,-1,-1,-2,-1,-1,-2,-1,-5,-2,-2,1,-1,-2,-1,-1,0,-2,-1,-1,0,-3,-1,-2,1,-3,-1,-1,-2,-3,-3,0,-3,-1,1,-2,-3,0,-2,0,-2,0,0,0,0
Action_1,EMG0R,1,1,-10,-9,2,0,3,4,-8,-2,-9,-3,7,-31,4,-3,7,-7,-7,-6,-16,-19,4,-13,-7,-9,11,8,6,-9,-18,-6,6,3,22,12,1,-2,-4,-2,-1,-1,4,16,0,0,0,0
Action_1,EMG1R,0,0,0,-4,4,14,-5,-4,-22,-19,17,6,10,-16,-8,-8,0,-19,-4,-21,-21,-7,-28,-26,-4,-9,14,-10,-14,8,1,-7,-17,-5,12,-8,-2,-4,-1,-4,-9,-4,1,5,0,0,0,0
Action_1,EMG2R,-2,-1,0,-1,2,-1,-13,17,-18,-4,8,-1,4,-7,0,0,28,-3,-14,-16,-14,3,-19,-27,-4,-10,9,0,-17,9,13,6,-11,-5,2,-11,-2,-3,-4,-7,-5,-2,-6,-4,0,0,0,0
Action_1,EMG3R,-1,0,-1,-1,3,10,12,5,-7,-10,-1,6,-23,6,-13,27,58,18,-20,0,-12,13,-6,-20,-6,14,15,-6,-8,-12,-12,38,4,0,-1,-9,-1,-8,-2,1,-3,2,0,-2,0,0,0,0
Action_1,EMG4R,0,1,-3,1,4,1,1,-8,-4,0,0,-6,1,-1,-2,13,12,3,-8,0,-8,3,5,-15,2,-2,10,7,3,6,0,11,2,2,1,-5,-2,-5,-2,-2,-3,-3,-7,-5,0,0,0,0
Action_1,EMG5R,0,2,-2,-1,1,1,-8,5,1,-2,-4,-2,1,-1,-1,-3,0,-2,1,1,2,-4,0,-8,-3,1,-1,-1,1,4,0,1,1,0,0,-3,-1,-3,-2,-3,-1,-4,-6,0,0,0,0,0
Action_1,EMG6R,5,1,-8,-1,-2,-2,-10,1,-9,-5,5,0,9,20,-13,-2,2,-11,-4,-3,1,-2,-2,-18,9,-1,0,-8,7,-3,5,7,-1,-16,0,-6,-20,-11,-15,-6,19,-7,-1,10,0,0,0,0
Action_1,EMG7R,1,2,-2,-1,-3,-8,-8,2,-7,-8,1,3,5,3,5,2,0,-6,-1,-3,-6,-8,3,-14,-3,-2,-1,4,9,-13,0,2,-3,0,-2,1,0,-5,-4,-2,60,-1,2,6,0,0,0,0
Action_1,GLX,2.4375,-0.375,-1.75,-1.3125,0.8125,2.875,1.375,4.25,-6.875,-0.1875,-1.1875,-2.5,-1.0625,3.8125,3.375,1.9375,1.375,2.3125,-0.375,0.3125,0.625,0.375,1.75,-2.4375,-2,-1.5,-0.9375,0.125,2.9375,1.9375,2.3125,1.3125,-0.6875,2.4375,-0.875,2.125,9.375,14.75,10.375,-0.25,-2.0625,-10.75,-8.1875,-6.5,0,0,0,0
Action_1,GLY,2.4375,-0.375,-1.75,-1.3125,0.8125,2.875,1.375,4.25,-6.875,-0.1875,-1.1875,-2.5,-1.0625,3.8125,3.375,1.9375,1.375,2.3125,-0.375,0.3125,0.625,0.375,1.75,-2.4375,-2,-1.5,-0.9375,0.125,2.9375,1.9375,2.3125,1.3125,-0.6875,2.4375,-0.875,2.125,9.375,14.75,10.375,-0.25,-2.0625,-10.75,-8.1875,-6.5,0,0,0,0
Action_1,GLZ,2.4375,-0.375,-1.75,-1.3125,0.8125,2.875,1.375,4.25,-6.875,-0.1875,-1.1875,-2.5,-1.0625,3.8125,3.375,1.9375,1.375,2.3125,-0.375,0.3125,0.625,0.375,1.75,-2.4375,-2,-1.5,-0.9375,0.125,2.9375,1.9375,2.3125,1.3125,-0.6875,2.4375,-0.875,2.125,9.375,14.75,10.375,-0.25,-2.0625,-10.75,-8.1875,-6.5,0,0,0,0
Action_1,GRX,-10.5,-3.6875,5.25,2.0625,3.6875,-13.3125,-36.6875,11.75,-46.375,1.375,8.8125,24.25,8.9375,11.3125,-9.3125,-11.4375,-9.0625,3.3125,1.625,7.5625,13.625,15.5625,25.0625,22.0625,12.8125,16.875,-6.0625,-8,-5.25,-3.125,-2.125,-1.375,-6.25,-14.625,-6.375,-32.625,-24.25,10.75,1.375,17.3125,38.625,-78,7.9375,27.375,0,0,0,0
Action_1,GRY,-10.5,-3.6875,5.25,2.0625,3.6875,-13.3125,-36.6875,11.75,-46.375,1.375,8.8125,24.25,8.9375,11.3125,-9.3125,-11.4375,-9.0625,3.3125,1.625,7.5625,13.625,15.5625,25.0625,22.0625,12.8125,16.875,-6.0625,-8,-5.25,-3.125,-2.125,-1.375,-6.25,-14.625,-6.375,-32.625,-24.25,10.75,1.375,17.3125,38.625,-78,7.9375,27.375,0,0,0,0
Action_1,GRZ,-10.5,-3.6875,5.25,2.0625,3.6875,-13.3125,-36.6875,11.75,-46.375,1.375,8.8125,24.25,8.9375,11.3125,-9.3125,-11.4375,-9.0625,3.3125,1.625,7.5625,13.625,15.5625,25.0625,22.0625,12.8125,16.875,-6.0625,-8,-5.25,-3.125,-2.125,-1.375,-6.25,-14.625,-6.375,-32.625,-24.25,10.75,1.375,17.3125,38.625,-78,7.9375,27.375,0,0,0,0
Action_1,ORL,3.090806,3.092777,3.094535,3.095032,3.09448,3.098996,3.10158,3.101475,3.088526,3.086842,3.084744,3.089598,3.091808,3.089791,3.087153,3.074715,3.079127,3.082033,3.081362,3.081249,3.081509,3.083836,3.08516,3.085085,3.078328,3.079852,3.085388,3.085835,3.08757,3.088959,3.087487,3.08699,3.090602,3.09535,3.096514,3.099095,3.107031,3.120803,3.126289,3.12781,3.127167,3.127784,3.126134,3.126916,0,0,0,0
Action_1,OPL,3.165623,3.162351,3.160862,3.159527,3.15923,3.162159,3.16471,3.160104,3.149102,3.14423,3.142585,3.143913,3.148765,3.150565,3.149644,3.143545,3.148282,3.152397,3.153831,3.153866,3.152042,3.151291,3.151617,3.149112,3.146833,3.149269,3.150327,3.149385,3.148215,3.146452,3.146186,3.146298,3.147524,3.150681,3.150696,3.150544,3.155606,3.162907,3.164745,3.160656,3.159964,3.155489,3.158356,3.160909,0,0,0,0
Action_1,OYL,7.209473,7.20997,7.209035,7.207102,7.206801,7.205866,7.20658,7.212948,7.212266,7.213158,7.212401,7.203922,7.192082,7.198631,7.203794,7.232453,7.230953,7.230809,7.23278,7.233037,7.233869,7.231667,7.230625,7.230655,7.230741,7.226726,7.220507,7.217931,7.220119,7.226442,7.230454,7.231937,7.231166,7.227194,7.226868,7.226406,7.230008,7.240263,7.248825,7.268272,7.267475,7.255441,7.217463,7.200927,0,0,0,0
Action_1,ORR,6.638656,6.594457,6.569406,6.586214,6.612031,6.638984,6.583813,6.504806,6.351871,6.323684,6.359078,6.440662,6.559402,6.629693,6.672584,6.681077,6.681334,6.691682,6.702693,6.712387,6.727452,6.737168,6.734718,6.808936,6.877974,6.926142,6.942935,6.93283,6.926694,6.925297,6.922688,6.920093,6.898612,6.87014,6.836307,6.710845,6.549984,6.444054,6.419005,6.527712,6.578376,6.608866,6.714048,6.74134,0,0,0,0
Action_1,OPR,3.383001,3.424227,3.496062,3.496039,3.457417,3.40571,3.455005,3.720866,4.560277,5.131495,5.579884,5.871639,6.049314,6.097897,6.144917,6.173755,6.188976,6.17949,6.179212,6.186898,6.200731,6.222218,6.289433,6.42088,6.481175,6.507696,6.495267,6.493239,6.486519,6.480182,6.476445,6.472323,6.44967,6.42167,6.374441,6.213947,6.002266,5.652134,5.19684,4.473646,3.981841,3.441353,3.144531,2.979131,0,0,0,0
Action_1,OYR,3.622323,3.652259,3.691796,3.680053,3.654936,3.622973,3.622106,3.729472,3.818693,3.866683,3.942621,4.059785,4.235726,4.326433,4.415015,4.455682,4.483176,4.500029,4.509244,4.50732,4.485353,4.455836,4.402206,4.443878,4.490343,4.513856,4.530654,4.531383,4.53415,4.540927,4.54507,4.548399,4.531682,4.515142,4.493005,4.402014,4.238026,4.028581,3.884403,3.795411,3.738849,3.637083,3.510254,3.476715,0,0,0,0
Action_2,ALX,0.9101563,0.9042969,0.9301758,0.9018555,0.9150391,0.9262695,0.9042969,0.9282227,0.9453125,0.9145508,0.9160156,0.9189453,0.9306641,0.9233398,0.9228516,0.9262695,0.9282227,0.925293,0.9038086,0.9121094,0.9179688,0.9179688,0.9233398,0.9150391,0.9223633,0.9267578,0.9233398,0.9135742,0.9199219,0.9355469,0.9248047,0.9199219,0.9194336,0.9179688,0.9262695,0.9243164,0.9189453,0.9204102,0.9321289,0.9160156,0.9150391,0.9199219,0.9086914,0.9262695,0,0,0,0
Action_2,ALY,-0.3706055,-0.3574219,-0.3564453,-0.359375,-0.3696289,-0.3852539,-0.3666992,-0.3544922,-0.3486328,-0.355957,-0.3330078,-0.3481445,-0.3637695,-0.3510742,-0.3637695,-0.3374023,-0.3520508,-0.3803711,-0.3828125,-0.3676758,-0.3720703,-0.3652344,-0.3496094,-0.3452148,-0.3535156,-0.3505859,-0.3535156,-0.3710938,-0.3647461,-0.3427734,-0.3701172,-0.3544922,-0.3681641,-0.3598633,-0.3637695,-0.3481445,-0.3515625,-0.3505859,-0.3681641,-0.3754883,-0.3583984,-0.3720703,-0.3554688,-0.3520508,0,0,0,0
Action_2,ALZ,0.1586914,0.1425781,0.152832,0.1577148,0.1572266,0.1425781,0.1479492,0.1484375,0.1411133,0.1582031,0.1586914,0.1513672,0.1464844,0.128418,0.1479492,0.1469727,0.1420898,0.144043,0.1547852,0.1616211,0.140625,0.1376953,0.1538086,0.1484375,0.1464844,0.1435547,0.1489258,0.1552734,0.1582031,0.1533203,0.1542969,0.1538086,0.159668,0.1489258,0.1494141,0.1513672,0.1621094,0.1474609,0.1459961,0.1625977,0.15625,0.1625977,0.1601563,0.1621094,0,0,0,0
Action_2,ARX,0.9013672,0.9453125,0.9301758,0.9287109,0.9316406,0.9130859,1.044434,1.106934,1.082031,0.5224609,0.2602539,-0.01367188,-0.300293,-0.3857422,-0.3242188,-0.4228516,-0.5922852,-0.6220703,-0.6816406,-0.6811523,-0.6855469,-0.6801758,-0.7089844,-0.6962891,-0.6972656,-0.7602539,-0.8208008,-0.777832,-0.737793,-0.7524414,-0.7905273,-0.8173828,-0.8081055,-0.7983398,-0.7290039,-0.6157227,-0.621582,-0.5834961,-0.4467773,-0.3183594,-0.25,0.001464844,0.5141602,0.7661133,0,0,0,0
Action_2,ARY,0.3037109,0.2954102,0.2617188,0.2705078,0.2739258,0.3452148,0.2451172,0.4921875,0.5600586,0.7226563,0.7724609,0.668457,0.6494141,0.6850586,0.605957,0.6308594,0.6171875,0.6655273,0.6723633,0.6655273,0.6469727,0.640625,0.6547852,0.6625977,0.6875,0.6508789,0.6010742,0.5927734,0.5317383,0.5405273,0.5942383,0.5961914,0.5888672,0.5795898,0.5678711,0.5737305,0.5874023,0.6005859,0.6064453,0.7324219,0.7734375,0.9008789,0.9355469,0.6904297,0,0,0,0
Action_2,ARZ,0.1425781,0.1499023,0.1186523,0.1435547,0.1547852,0.1401367,0.09814453,0.2226563,0.4643555,0.609375,0.5332031,0.5668945,0.5966797,0.628418,0.6025391,0.5498047,0.4272461,0.4379883,0.4101563,0.4135742,0.4106445,0.4135742,0.3891602,0.3608398,0.3706055,0.3901367,0.3286133,0.2880859,0.2983398,0.2719727,0.2524414,0.253418,0.2480469,0.2431641,0.2597656,0.3100586,0.3447266,0.4829102,0.5126953,0.5537109,0.3930664,0.4130859,0.4980469,0.4536133,0,0,0,0
Action_2,EMG0L,3,-1,-3,1,1,-2,-2,-1,-3,0,-3,-1,-1,-3,0,-3,-2,0,1,-1,-1,1,-1,-2,-3,0,-4,1,1,-2,-1,-1,-2,-3,-2,-2,-1,-1,0,-4,0,-1,1,-2,0,0,0,0
Action_2,EMG1L,7,2,-3,-5,-15,-15,1,3,4,-7,-2,2,4,0,6,-9,-5,4,12,-3,-3,2,0,0,2,-5,16,-11,-5,0,0,-8,-5,-12,16,-5,4,-5,2,-2,-2,1,0,1,0,0,0,0
Action_2,EMG2L,0,2,-2,1,-7,0,-2,-1,0,-1,-1,0,-2,-2,-3,0,-3,-2,1,-2,-2,1,-1,-1,-1,-3,-2,-2,1,1,-4,-2,-3,-1,-5,-3,-1,-1,1,0,-1,-1,-4,-3,0,0,0,0
Action_2,EMG3L,-3,-1,-1,0,-2,-1,-1,-3,-1,-1,0,0,-2,-1,-2,0,-1,0,-1,0,-2,-1,-3,-3,0,-1,-1,0,0,-1,0,-3,-1,-1,-3,-1,0,-1,0,-2,0,-2,-1,-2,0,0,0,0
Action_2,EMG4L,-2,-3,-1,-1,1,0,-1,1,0,-1,-1,-1,-2,0,-1,0,-1,0,-1,-3,-3,-3,-2,0,-3,0,-4,1,0,0,-1,-3,0,0,-1,-2,-1,0,-1,-2,-4,-1,-2,1,0,0,0,0
Action_2,EMG5L,-2,0,-1,2,-3,-2,-2,-3,-2,-1,0,-2,-1,0,-2,-1,0,-2,0,0,1,-3,0,-3,-3,0,-4,-1,1,0,0,-1,-1,-1,-2,-2,0,-1,-2,-1,-1,-2,-2,0,0,0,0,0
Action_2,EMG6L,0,-1,1,0,-2,-1,-3,0,-3,0,-3,0,-2,3,0,-1,-1,-4,0,1,2,2,2,-2,-3,-1,-2,1,1,0,-2,-1,0,-1,-1,-2,2,-1,-1,-2,-1,-1,-3,0,0,0,0,0
Action_2,EMG7L,0,-3,-3,-3,1,0,-2,-2,2,-2,-1,-1,-1,1,-2,-1,1,0,0,-1,0,0,-3,0,-6,-2,-2,0,0,0,-1,-1,-1,-1,-4,-2,1,0,-3,-1,1,-1,-1,-1,0,0,0,0
Action_2,EMG0R,-1,1,-2,-9,1,-2,-3,0,4,0,15,25,9,-1,-7,1,-19,6,-58,15,-16,5,-20,-9,17,6,4,2,-1,-6,-5,8,-3,10,-10,-4,-8,-6,-2,-2,2,-3,-3,-5,0,0,0,0
Action_2,EMG1R,0,-1,0,-4,-1,2,0,-23,-5,-25,11,33,9,7,-18,22,-37,-11,-4,-2,3,-4,-12,14,-1,5,-15,-7,-5,5,1,15,7,-1,-1,-8,2,-9,-2,0,13,-2,-4,5,0,0,0,0
Action_2,EMG2R,0,-1,-1,-1,-1,-2,-2,-24,-11,13,-14,34,10,7,-13,3,-15,-9,13,-6,-7,3,-2,4,-8,1,0,1,16,-5,-4,14,4,-5,-1,-5,8,-4,1,0,14,-4,-2,0,0,0,0,0
Action_2,EMG3R,-1,0,-1,-1,0,-1,-2,11,3,13,-6,6,5,8,-5,-4,-14,-12,2,11,-24,6,-2,-1,2,-20,9,-2,27,-19,-21,3,-6,-10,-10,-18,-22,-18,3,-2,2,1,-2,-1,0,0,0,0
Action_2,EMG4R,1,0,-2,-1,-2,-1,4,5,13,27,0,9,0,-7,2,-2,-12,-10,-1,1,-7,2,0,2,-6,-3,-6,-2,27,-11,-8,3,5,-5,-1,1,-1,-2,-1,-2,1,-2,-1,-3,0,0,0,0
Action_2,EMG5R,0,-4,-1,0,0,0,-3,-1,1,1,2,4,-2,-1,0,-6,-8,-8,-1,-2,-1,-3,-2,-2,-2,-4,2,0,2,2,1,1,1,-3,-2,-3,-1,-6,-1,3,0,0,-5,-1,0,0,0,0
Action_2,EMG6R,3,-2,-5,5,-2,-11,-4,-1,-5,10,5,8,-4,3,3,10,-13,-20,5,4,0,4,-9,4,5,-9,1,0,-10,9,6,6,5,-8,-10,-7,0,-6,-5,16,3,-4,-6,-1,0,0,0,0
Action_2,EMG7R,2,-10,-6,-1,-3,-4,-3,-6,0,10,-3,6,-3,7,-5,7,-4,-5,-9,8,-6,1,-4,1,8,-2,0,-4,-11,-2,-4,9,-1,-7,-7,-10,-2,-1,-1,0,0,-2,-7,-5,0,0,0,0
Action_2,GLX,1,3.375,0.875,1.25,3.3125,-1.25,-2.9375,-0.875,-0.625,-0.375,-2.25,-1.5625,-1,-1.3125,-5.75,4.5,6.6875,3.75,1.8125,-1.5,-4,-0.625,-3.5,0.3125,2.4375,4,1.1875,-0.75,-0.3125,0.9375,-0.3125,3.5625,-1.3125,-1.5,0.25,-0.3125,4.125,6.6875,7.6875,5.8125,0.0625,-8.6875,-6.5625,-4.4375,0,0,0,0
Action_2,GLY,1,3.375,0.875,1.25,3.3125,-1.25,-2.9375,-0.875,-0.625,-0.375,-2.25,-1.5625,-1,-1.3125,-5.75,4.5,6.6875,3.75,1.8125,-1.5,-4,-0.625,-3.5,0.3125,2.4375,4,1.1875,-0.75,-0.3125,0.9375,-0.3125,3.5625,-1.3125,-1.5,0.25,-0.3125,4.125,6.6875,7.6875,5.8125,0.0625,-8.6875,-6.5625,-4.4375,0,0,0,0
Action_2,GLZ,1,3.375,0.875,1.25,3.3125,-1.25,-2.9375,-0.875,-0.625,-0.375,-2.25,-1.5625,-1,-1.3125,-5.75,4.5,6.6875,3.75,1.8125,-1.5,-4,-0.625,-3.5,0.3125,2.4375,4,1.1875,-0.75,-0.3125,0.9375,-0.3125,3.5625,-1.3125,-1.5,0.25,-0.3125,4.125,6.6875,7.6875,5.8125,0.0625,-8.6875,-6.5625,-4.4375,0,0,0,0
Action_2,GRX,-1.0625,-6.375,3.0625,2.125,1.125,-22.75,-68.5,-15.3125,-12,-8.4375,-37.5625,-16.0625,-0.125,16.375,11.6875,-9.1875,-13.5625,-8.9375,-0.125,3,6.5,1.6875,1.75,15.375,21.125,21.9375,20.0625,24.8125,14.375,2.9375,0.0625,-6.9375,-3.1875,1.25,-0.5,-8.1875,-13.375,-27.25,-22.0625,20.5,22.75,43.0625,31.75,-35.5,0,0,0,0
Action_2,GRY,-1.0625,-6.375,3.0625,2.125,1.125,-22.75,-68.5,-15.3125,-12,-8.4375,-37.5625,-16.0625,-0.125,16.375,11.6875,-9.1875,-13.5625,-8.9375,-0.125,3,6.5,1.6875,1.75,15.375,21.125,21.9375,20.0625,24.8125,14.375,2.9375,0.0625,-6.9375,-3.1875,1.25,-0.5,-8.1875,-13.375,-27.25,-22.0625,20.5,22.75,43.0625,31.75,-35.5,0,0,0,0
Action_2,GRZ,-1.0625,-6.375,3.0625,2.125,1.125,-22.75,-68.5,-15.3125,-12,-8.4375,-37.5625,-16.0625,-0.125,16.375,11.6875,-9.1875,-13.5625,-8.9375,-0.125,3,6.5,1.6875,1.75,15.375,21.125,21.9375,20.0625,24.8125,14.375,2.9375,0.0625,-6.9375,-3.1875,1.25,-0.5,-8.1875,-13.375,-27.25,-22.0625,20.5,22.75,43.0625,31.75,-35.5,0,0,0,0
Action_2,ORL,3.119132,3.122998,3.121751,3.121425,3.127991,3.124349,3.121794,3.121848,3.122669,3.116191,3.115684,3.114766,3.114576,3.1152,3.104458,3.106582,3.109776,3.108274,3.108562,3.11147,3.11114,3.111819,3.111808,3.112174,3.115678,3.120917,3.123151,3.121412,3.122437,3.128779,3.128417,3.131567,3.133282,3.132143,3.130041,3.129894,3.134373,3.140854,3.142764,3.143336,3.147986,3.144868,3.145643,3.146466,0,0,0,0
Action_2,OPL,3.139722,3.142792,3.141391,3.138323,3.140624,3.140639,3.140342,3.13813,3.136218,3.13006,3.127897,3.126426,3.126533,3.126371,3.125174,3.130264,3.132463,3.131667,3.132518,3.1338,3.133995,3.133756,3.132773,3.131345,3.131956,3.133395,3.133227,3.132044,3.133821,3.134813,3.132104,3.134468,3.134881,3.135221,3.135602,3.134671,3.135888,3.137866,3.138144,3.142424,3.142921,3.137689,3.136652,3.137281,0,0,0,0
Action_2,OYL,7.249576,7.251146,7.25447,7.261795,7.259668,7.261748,7.260057,7.254445,7.253294,7.245243,7.246535,7.245165,7.245218,7.243891,7.23925,7.237937,7.244657,7.255026,7.25843,7.255548,7.24798,7.246881,7.245039,7.240544,7.239588,7.240733,7.243137,7.245002,7.242186,7.239809,7.240108,7.242807,7.241668,7.241962,7.241806,7.242093,7.241164,7.246302,7.256404,7.269095,7.268692,7.259663,7.246702,7.23573,0,0,0,0
Action_2,ORR,6.772538,6.771117,6.758677,6.757263,6.752886,6.758626,6.695849,6.622062,6.529048,6.468271,6.410499,6.350487,6.347434,6.410079,6.482054,6.538776,6.564065,6.575422,6.581965,6.592405,6.606993,6.608867,6.619379,6.646403,6.668789,6.66444,6.702681,6.755221,6.842096,6.86399,6.865577,6.851911,6.851187,6.855965,6.853641,6.818772,6.79279,6.567994,6.463639,6.441057,6.469124,6.547717,6.631315,6.607387,0,0,0,0
Action_2,OPR,3.027089,3.032787,3.031086,3.025651,3.021529,3.026349,3.080097,3.213724,3.456417,3.969642,4.414769,4.867305,5.398081,5.689015,5.882277,5.998371,6.087712,6.116351,6.143863,6.150214,6.148379,6.147461,6.153381,6.165401,6.17456,6.220152,6.31505,6.372537,6.441691,6.452401,6.435484,6.433321,6.437058,6.435949,6.421904,6.378711,6.352815,6.096691,5.838009,5.401016,5.011899,4.587997,4.061432,3.731692,0,0,0,0
Action_2,OYR,3.587842,3.580675,3.588631,3.59665,3.602216,3.580172,3.490049,3.53158,3.596537,3.672635,3.707499,3.759479,3.875145,3.989021,4.113711,4.223343,4.323306,4.356829,4.385252,4.398846,4.393844,4.388846,4.39769,4.412396,4.398995,4.341499,4.346245,4.380679,4.438532,4.461631,4.474592,4.470477,4.478128,4.484248,4.481495,4.450204,4.427439,4.227754,4.121413,3.999392,3.976954,3.958871,3.911725,3.892971,0,0,0,0
Action_3,ALX,0.9169922,0.9179688,0.9194336,0.9267578,0.9111328,0.9106445,0.9228516,0.9082031,0.909668,0.9335938,0.9086914,0.9003906,0.9287109,0.9350586,0.9169922,0.9101563,0.9106445,0.9223633,0.9111328,0.9140625,0.9106445,0.9165039,0.9038086,0.9135742,0.9067383,0.9057617,0.9174805,0.9160156,0.9169922,0.9194336,0.9174805,0.9052734,0.9111328,0.9204102,0.9111328,0.909668,0.918457,0.9106445,0.9150391,0.9125977,0.9091797,0.909668,0.9262695,0.9135742,0,0,0,0
Action_3,ALY,-0.362793,-0.3681641,-0.362793,-0.3857422,-0.362793,-0.3662109,-0.3613281,-0.3740234,-0.3544922,-0.3691406,-0.3569336,-0.3808594,-0.3510742,-0.3442383,-0.340332,-0.3745117,-0.375,-0.3486328,-0.3642578,-0.387207,-0.390625,-0.3818359,-0.3740234,-0.3774414,-0.3754883,-0.3862305,-0.3544922,-0.3769531,-0.375,-0.3813477,-0.3764648,-0.3793945,-0.3823242,-0.3676758,-0.3676758,-0.3759766,-0.359375,-0.3608398,-0.3745117,-0.375,-0.3754883,-0.3730469,-0.3564453,-0.394043,0,0,0,0
