Action_1,ALX,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031,0.9707031
Action_1,ALY,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781,-0.2050781
Action_1,ALZ,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453,0.1064453
Action_1,ARX,0.9248047,0.9287109,0.9272461,0.9360352,0.9360352,0.9291992,0.9291992,0.9335938,0.9282227,0.9291992,0.9228516,0.9277344,0.9208984,0.9316406,0.9331055,0.9296875,0.9267578,0.9257813,0.9272461,0.9277344,0.9331055,0.9228516,0.9316406,0.925293,0.9365234,0.9326172,0.9257813,0.9257813,0.9326172,0.9326172,0.9301758,0.9311523,0.9243164,0.9282227,0.9301758,0.9282227,0.9365234,0.9296875,0.9331055,0.9291992,0.9321289,0.9321289,0.9306641,0.9287109,0.9291992,0.9287109,0.9321289,0.9287109
Action_1,ARY,0.2651367,0.2548828,0.2558594,0.2543945,0.2543945,0.269043,0.269043,0.2548828,0.2705078,0.2602539,0.2631836,0.2651367,0.2602539,0.2573242,0.2626953,0.2695313,0.2592773,0.2631836,0.2680664,0.2700195,0.2583008,0.2626953,0.2651367,0.262207,0.2558594,0.2558594,0.2631836,0.2631836,0.2563477,0.2563477,0.2607422,0.2631836,0.2626953,0.2592773,0.2626953,0.2646484,0.2607422,0.2636719,0.2631836,0.2675781,0.2646484,0.2646484,0.269043,0.2675781,0.2617188,0.2705078,0.2583008,0.2646484
Action_1,ARZ,0.1396484,0.1577148,0.152832,0.1572266,0.1572266,0.1611328,0.1611328,0.1484375,0.15625,0.1513672,0.1513672,0.1518555,0.1445313,0.1489258,0.1523438,0.1445313,0.144043,0.1499023,0.1586914,0.1416016,0.1557617,0.1464844,0.152832,0.1533203,0.152832,0.1547852,0.15625,0.15625,0.1552734,0.1552734,0.1538086,0.1479492,0.1523438,0.152832,0.1523438,0.1547852,0.1533203,0.1518555,0.1450195,0.1503906,0.159668,0.159668,0.1499023,0.1494141,0.1494141,0.15625,0.152832,0.1513672
Action_1,EMG0L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Action_1,EMG1L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Action_1,EMG2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action_1,EMG3L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
